Using gpu device 0: GeForce GTX 980
/home/gtx980/lab/local/lib/python2.7/site-packages/theano/sandbox/rng_mrg.py:768: UserWarning: MRG_RandomStreams Can't determine #streams from size (Shape.0), guessing 60*256
  nstreams = self.n_streams(size)
... loading data
... building the model
... training
epoch 1, minibatch 195/195, train cost 0.477360 validation error 7.692308 %
     epoch 1, minibatch 195/195, test error of best model 7.461939 %
epoch 2, minibatch 195/195, train cost 0.322992 validation error 4.447115 %
     epoch 2, minibatch 195/195, test error of best model 4.837740 %
epoch 3, minibatch 195/195, train cost 0.298949 validation error 3.605769 %
     epoch 3, minibatch 195/195, test error of best model 3.946314 %
epoch 4, minibatch 195/195, train cost 0.318784 validation error 2.974760 %
     epoch 4, minibatch 195/195, test error of best model 3.285256 %
epoch 5, minibatch 195/195, train cost 0.187587 validation error 2.704327 %
     epoch 5, minibatch 195/195, test error of best model 2.814503 %
epoch 6, minibatch 195/195, train cost 0.160227 validation error 2.504006 %
     epoch 6, minibatch 195/195, test error of best model 2.604167 %
epoch 7, minibatch 195/195, train cost 0.214837 validation error 2.534054 %
epoch 8, minibatch 195/195, train cost 0.140533 validation error 2.313702 %
     epoch 8, minibatch 195/195, test error of best model 2.554087 %
epoch 9, minibatch 195/195, train cost 0.099894 validation error 2.203526 %
     epoch 9, minibatch 195/195, test error of best model 2.283654 %
epoch 10, minibatch 195/195, train cost 0.139729 validation error 2.263622 %
epoch 11, minibatch 195/195, train cost 0.126722 validation error 2.133413 %
     epoch 11, minibatch 195/195, test error of best model 2.183494 %
epoch 12, minibatch 195/195, train cost 0.106043 validation error 1.913061 %
     epoch 12, minibatch 195/195, test error of best model 2.003205 %
epoch 13, minibatch 195/195, train cost 0.093865 validation error 2.073317 %
epoch 14, minibatch 195/195, train cost 0.055905 validation error 1.983173 %
epoch 15, minibatch 195/195, train cost 0.092288 validation error 1.923077 %
epoch 16, minibatch 195/195, train cost 0.111457 validation error 1.913061 %
epoch 17, minibatch 195/195, train cost 0.064359 validation error 2.053285 %
epoch 18, minibatch 195/195, train cost 0.058778 validation error 1.953125 %
epoch 19, minibatch 195/195, train cost 0.055279 validation error 2.053285 %
epoch 20, minibatch 195/195, train cost 0.048191 validation error 1.903045 %
     epoch 20, minibatch 195/195, test error of best model 1.852965 %
epoch 21, minibatch 195/195, train cost 0.053038 validation error 1.722756 %
     epoch 21, minibatch 195/195, test error of best model 1.812901 %
epoch 22, minibatch 195/195, train cost 0.033449 validation error 1.682692 %
     epoch 22, minibatch 195/195, test error of best model 1.702724 %
epoch 23, minibatch 195/195, train cost 0.084465 validation error 2.013221 %
epoch 24, minibatch 195/195, train cost 0.031906 validation error 1.792869 %
epoch 25, minibatch 195/195, train cost 0.071939 validation error 1.923077 %
epoch 26, minibatch 195/195, train cost 0.056502 validation error 1.852965 %
epoch 27, minibatch 195/195, train cost 0.031245 validation error 1.872997 %
epoch 28, minibatch 195/195, train cost 0.031675 validation error 1.802885 %
epoch 29, minibatch 195/195, train cost 0.026300 validation error 1.832933 %
epoch 30, minibatch 195/195, train cost 0.046110 validation error 1.702724 %
epoch 31, minibatch 195/195, train cost 0.022799 validation error 1.622596 %
     epoch 31, minibatch 195/195, test error of best model 1.702724 %
epoch 32, minibatch 195/195, train cost 0.043630 validation error 1.612580 %
     epoch 32, minibatch 195/195, test error of best model 1.832933 %
epoch 33, minibatch 195/195, train cost 0.020914 validation error 1.462340 %
     epoch 33, minibatch 195/195, test error of best model 1.692708 %
epoch 34, minibatch 195/195, train cost 0.031513 validation error 1.662660 %
epoch 35, minibatch 195/195, train cost 0.013771 validation error 1.622596 %
epoch 36, minibatch 195/195, train cost 0.026542 validation error 1.642628 %
epoch 37, minibatch 195/195, train cost 0.040941 validation error 1.712740 %
epoch 38, minibatch 195/195, train cost 0.030008 validation error 1.482372 %
epoch 39, minibatch 195/195, train cost 0.028517 validation error 1.732772 %
epoch 40, minibatch 195/195, train cost 0.014306 validation error 1.722756 %
epoch 41, minibatch 195/195, train cost 0.029708 validation error 1.622596 %
epoch 42, minibatch 195/195, train cost 0.025153 validation error 1.532452 %
epoch 43, minibatch 195/195, train cost 0.039508 validation error 1.822917 %
epoch 44, minibatch 195/195, train cost 0.017073 validation error 1.722756 %
epoch 45, minibatch 195/195, train cost 0.046400 validation error 1.542468 %
epoch 46, minibatch 195/195, train cost 0.009507 validation error 1.452324 %
     epoch 46, minibatch 195/195, test error of best model 1.592548 %
epoch 47, minibatch 195/195, train cost 0.008975 validation error 1.572516 %
epoch 48, minibatch 195/195, train cost 0.017130 validation error 1.602564 %
epoch 49, minibatch 195/195, train cost 0.016634 validation error 1.622596 %
epoch 50, minibatch 195/195, train cost 0.025560 validation error 1.622596 %
epoch 51, minibatch 195/195, train cost 0.027429 validation error 1.602564 %
epoch 52, minibatch 195/195, train cost 0.021976 validation error 1.542468 %
epoch 53, minibatch 195/195, train cost 0.027972 validation error 1.542468 %
epoch 54, minibatch 195/195, train cost 0.019444 validation error 1.402244 %
     epoch 54, minibatch 195/195, test error of best model 1.432292 %
epoch 55, minibatch 195/195, train cost 0.051061 validation error 1.752804 %
epoch 56, minibatch 195/195, train cost 0.013537 validation error 1.622596 %
epoch 57, minibatch 195/195, train cost 0.041855 validation error 1.472356 %
epoch 58, minibatch 195/195, train cost 0.039448 validation error 1.532452 %
epoch 59, minibatch 195/195, train cost 0.046464 validation error 1.612580 %
epoch 60, minibatch 195/195, train cost 0.010040 validation error 1.532452 %
epoch 61, minibatch 195/195, train cost 0.003872 validation error 1.452324 %
epoch 62, minibatch 195/195, train cost 0.007513 validation error 1.502404 %
epoch 63, minibatch 195/195, train cost 0.011159 validation error 1.472356 %
epoch 64, minibatch 195/195, train cost 0.027501 validation error 1.482372 %
epoch 65, minibatch 195/195, train cost 0.026984 validation error 1.442308 %
epoch 66, minibatch 195/195, train cost 0.010732 validation error 1.392228 %
     epoch 66, minibatch 195/195, test error of best model 1.592548 %
epoch 67, minibatch 195/195, train cost 0.013430 validation error 1.632612 %
epoch 68, minibatch 195/195, train cost 0.015019 validation error 1.462340 %
epoch 69, minibatch 195/195, train cost 0.034508 validation error 1.532452 %
epoch 70, minibatch 195/195, train cost 0.013259 validation error 1.462340 %
epoch 71, minibatch 195/195, train cost 0.029060 validation error 1.592548 %
epoch 72, minibatch 195/195, train cost 0.017245 validation error 1.442308 %
epoch 73, minibatch 195/195, train cost 0.040912 validation error 1.422276 %
epoch 74, minibatch 195/195, train cost 0.010240 validation error 1.492388 %
epoch 75, minibatch 195/195, train cost 0.003307 validation error 1.432292 %
epoch 76, minibatch 195/195, train cost 0.010403 validation error 1.392228 %
epoch 77, minibatch 195/195, train cost 0.006697 validation error 1.452324 %
epoch 78, minibatch 195/195, train cost 0.002335 validation error 1.562500 %
epoch 79, minibatch 195/195, train cost 0.004294 validation error 1.482372 %
epoch 80, minibatch 195/195, train cost 0.002504 validation error 1.452324 %
epoch 81, minibatch 195/195, train cost 0.008405 validation error 1.552484 %
epoch 82, minibatch 195/195, train cost 0.026190 validation error 1.372196 %
     epoch 82, minibatch 195/195, test error of best model 1.482372 %
epoch 83, minibatch 195/195, train cost 0.008744 validation error 1.542468 %
epoch 84, minibatch 195/195, train cost 0.013379 validation error 1.492388 %
epoch 85, minibatch 195/195, train cost 0.010553 validation error 1.582532 %
epoch 86, minibatch 195/195, train cost 0.029828 validation error 1.472356 %
epoch 87, minibatch 195/195, train cost 0.007951 validation error 1.392228 %
epoch 88, minibatch 195/195, train cost 0.005951 validation error 1.372196 %
epoch 89, minibatch 195/195, train cost 0.017965 validation error 1.372196 %
epoch 90, minibatch 195/195, train cost 0.003295 validation error 1.452324 %
epoch 91, minibatch 195/195, train cost 0.012988 validation error 1.452324 %
epoch 92, minibatch 195/195, train cost 0.030603 validation error 1.452324 %
epoch 93, minibatch 195/195, train cost 0.021500 validation error 1.312099 %
     epoch 93, minibatch 195/195, test error of best model 1.322115 %
epoch 94, minibatch 195/195, train cost 0.004212 validation error 1.382212 %
epoch 95, minibatch 195/195, train cost 0.005475 validation error 1.392228 %
epoch 96, minibatch 195/195, train cost 0.016753 validation error 1.292067 %
     epoch 96, minibatch 195/195, test error of best model 1.382212 %
epoch 97, minibatch 195/195, train cost 0.014496 validation error 1.482372 %
epoch 98, minibatch 195/195, train cost 0.003012 validation error 1.402244 %
epoch 99, minibatch 195/195, train cost 0.003879 validation error 1.452324 %
epoch 100, minibatch 195/195, train cost 0.003473 validation error 1.372196 %
epoch 101, minibatch 195/195, train cost 0.031191 validation error 1.362179 %
epoch 102, minibatch 195/195, train cost 0.005382 validation error 1.392228 %
epoch 103, minibatch 195/195, train cost 0.024219 validation error 1.412260 %
epoch 104, minibatch 195/195, train cost 0.013324 validation error 1.262019 %
     epoch 104, minibatch 195/195, test error of best model 1.382212 %
epoch 105, minibatch 195/195, train cost 0.000776 validation error 1.602564 %
epoch 106, minibatch 195/195, train cost 0.015023 validation error 1.452324 %
epoch 107, minibatch 195/195, train cost 0.001329 validation error 1.382212 %
epoch 108, minibatch 195/195, train cost 0.004107 validation error 1.342147 %
epoch 109, minibatch 195/195, train cost 0.011928 validation error 1.282051 %
epoch 110, minibatch 195/195, train cost 0.001485 validation error 1.352163 %
epoch 111, minibatch 195/195, train cost 0.006816 validation error 1.562500 %
epoch 112, minibatch 195/195, train cost 0.005943 validation error 1.482372 %
epoch 113, minibatch 195/195, train cost 0.002116 validation error 1.382212 %
epoch 114, minibatch 195/195, train cost 0.001217 validation error 1.462340 %
epoch 115, minibatch 195/195, train cost 0.005940 validation error 1.372196 %
epoch 116, minibatch 195/195, train cost 0.004946 validation error 1.392228 %
epoch 117, minibatch 195/195, train cost 0.012362 validation error 1.442308 %
epoch 118, minibatch 195/195, train cost 0.001131 validation error 1.452324 %
