... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 2.180000 %
     epoch 1, minibatch 2500/2500, test error of best model 2.600000 %
epoch 2, minibatch 2500/2500, validation error 0.700000 %
     epoch 2, minibatch 2500/2500, test error of best model 0.840000 %
epoch 3, minibatch 2500/2500, validation error 0.400000 %
     epoch 3, minibatch 2500/2500, test error of best model 0.460000 %
epoch 4, minibatch 2500/2500, validation error 0.260000 %
     epoch 4, minibatch 2500/2500, test error of best model 0.330000 %
epoch 5, minibatch 2500/2500, validation error 0.220000 %
     epoch 5, minibatch 2500/2500, test error of best model 0.220000 %
epoch 6, minibatch 2500/2500, validation error 0.190000 %
     epoch 6, minibatch 2500/2500, test error of best model 0.190000 %
epoch 7, minibatch 2500/2500, validation error 0.140000 %
     epoch 7, minibatch 2500/2500, test error of best model 0.140000 %
epoch 8, minibatch 2500/2500, validation error 0.090000 %
     epoch 8, minibatch 2500/2500, test error of best model 0.110000 %
epoch 9, minibatch 2500/2500, validation error 0.080000 %
     epoch 9, minibatch 2500/2500, test error of best model 0.060000 %
epoch 10, minibatch 2500/2500, validation error 0.050000 %
     epoch 10, minibatch 2500/2500, test error of best model 0.030000 %
epoch 11, minibatch 2500/2500, validation error 0.030000 %
     epoch 11, minibatch 2500/2500, test error of best model 0.030000 %
epoch 12, minibatch 2500/2500, validation error 0.020000 %
     epoch 12, minibatch 2500/2500, test error of best model 0.020000 %
epoch 13, minibatch 2500/2500, validation error 0.010000 %
     epoch 13, minibatch 2500/2500, test error of best model 0.000000 %
epoch 14, minibatch 2500/2500, validation error 0.010000 %
epoch 15, minibatch 2500/2500, validation error 0.010000 %
epoch 16, minibatch 2500/2500, validation error 0.010000 %
epoch 17, minibatch 2500/2500, validation error 0.010000 %
epoch 18, minibatch 2500/2500, validation error 0.010000 %
epoch 19, minibatch 2500/2500, validation error 0.010000 %
epoch 20, minibatch 2500/2500, validation error 0.010000 %
epoch 21, minibatch 2500/2500, validation error 0.010000 %
epoch 22, minibatch 2500/2500, validation error 0.010000 %
epoch 23, minibatch 2500/2500, validation error 0.010000 %
epoch 24, minibatch 2500/2500, validation error 0.010000 %
epoch 25, minibatch 2500/2500, validation error 0.010000 %
Optimization complete. (with seed: 100) Best validation score of 0.010000 % obtained at iteration 32500, with test performance 0.000000 %
... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 2.910000 %
     epoch 1, minibatch 2500/2500, test error of best model 3.030000 %
epoch 2, minibatch 2500/2500, validation error 0.610000 %
     epoch 2, minibatch 2500/2500, test error of best model 0.550000 %
epoch 3, minibatch 2500/2500, validation error 0.390000 %
     epoch 3, minibatch 2500/2500, test error of best model 0.310000 %
epoch 4, minibatch 2500/2500, validation error 0.330000 %
     epoch 4, minibatch 2500/2500, test error of best model 0.250000 %
epoch 5, minibatch 2500/2500, validation error 0.280000 %
     epoch 5, minibatch 2500/2500, test error of best model 0.220000 %
epoch 6, minibatch 2500/2500, validation error 0.250000 %
     epoch 6, minibatch 2500/2500, test error of best model 0.150000 %
epoch 7, minibatch 2500/2500, validation error 0.220000 %
     epoch 7, minibatch 2500/2500, test error of best model 0.120000 %
epoch 8, minibatch 2500/2500, validation error 0.130000 %
     epoch 8, minibatch 2500/2500, test error of best model 0.050000 %
epoch 9, minibatch 2500/2500, validation error 0.100000 %
     epoch 9, minibatch 2500/2500, test error of best model 0.040000 %
