Using gpu device 0: GeForce GTX 980
... loading data
... building the model
... training
epoch 65, minibatch 2500/2500, validation error 7.100000 %
epoch 66, minibatch 2500/2500, validation error 7.100000 %
epoch 67, minibatch 2500/2500, validation error 7.070000 %
     epoch 67, minibatch 2500/2500, test error of best model 7.320000 %
epoch 68, minibatch 2500/2500, validation error 7.080000 %
epoch 69, minibatch 2500/2500, validation error 7.110000 %
epoch 70, minibatch 2500/2500, validation error 7.070000 %
epoch 71, minibatch 2500/2500, validation error 7.070000 %
epoch 72, minibatch 2500/2500, validation error 7.100000 %
epoch 73, minibatch 2500/2500, validation error 7.130000 %
epoch 74, minibatch 2500/2500, validation error 7.090000 %
epoch 75, minibatch 2500/2500, validation error 7.100000 %
epoch 76, minibatch 2500/2500, validation error 7.130000 %
epoch 77, minibatch 2500/2500, validation error 7.090000 %
epoch 78, minibatch 2500/2500, validation error 7.100000 %
epoch 79, minibatch 2500/2500, validation error 7.060000 %
     epoch 79, minibatch 2500/2500, test error of best model 7.230000 %
epoch 80, minibatch 2500/2500, validation error 7.090000 %
epoch 81, minibatch 2500/2500, validation error 7.090000 %
epoch 82, minibatch 2500/2500, validation error 7.080000 The code for file mlp_mint_AD.py ran for 6.13m
%
epoch 83, minibatch 2500/2500, validation error 7.090000 %
epoch 84, minibatch 2500/2500, validation error 7.120000 %
epoch 85, minibatch 2500/2500, validation error 7.090000 %
epoch 86, minibatch 2500/2500, validation error 7.090000 %
epoch 87, minibatch 2500/2500, validation error 7.140000 %
epoch 88, minibatch 2500/2500, validation error 7.120000 %
epoch 89, minibatch 2500/2500, validation error 7.100000 %
epoch 90, minibatch 2500/2500, validation error 7.100000 %
epoch 91, minibatch 2500/2500, validation error 7.080000 %
epoch 92, minibatch 2500/2500, validation error 7.180000 %
epoch 93, minibatch 2500/2500, validation error 7.130000 %
epoch 94, minibatch 2500/2500, validation error 7.130000 %
epoch 95, minibatch 2500/2500, validation error 7.150000 %
epoch 96, minibatch 2500/2500, validation error 7.180000 %
epoch 97, minibatch 2500/2500, validation error 7.150000 %
epoch 98, minibatch 2500/2500, validation error 7.160000 %
epoch 99, minibatch 2500/2500, validation error 7.160000 %
epoch 100, minibatch 2500/2500, validation error 7.160000 %
epoch 101, minibatch 2500/2500, validation error 7.120000 %
epoch 102, minibatch 2500/2500, validation error 7.140000 %
epoch 103, minibatch 2500/2500, validation error 7.110000 %
epoch 104, minibatch 2500/2500, validation error 7.160000 %
epoch 105, minibatch 2500/2500, validation error 7.110000 %
epoch 106, minibatch 2500/2500, validation error 7.140000 %
epoch 107, minibatch 2500/2500, validation error 7.150000 %
epoch 108, minibatch 2500/2500, validation error 7.190000 %
epoch 109, minibatch 2500/2500, validation error 7.130000 %
epoch 110, minibatch 2500/2500, validation error 7.180000 %
epoch 111, minibatch 2500/2500, validation error 7.150000 %
epoch 112, minibatch 2500/2500, validation error 7.140000 %
epoch 113, minibatch 2500/2500, validation error 7.220000 %
epoch 114, minibatch 2500/2500, validation error 7.170000 %
epoch 115, minibatch 2500/2500, validation error 7.210000 %
epoch 116, minibatch 2500/2500, validation error 7.200000 %
epoch 117, minibatch 2500/2500, validation error 7.220000 %
epoch 118, minibatch 2500/2500, validation error 7.180000 %
epoch 119, minibatch 2500/2500, validation error 7.200000 %
epoch 120, minibatch 2500/2500, validation error 7.180000 %
epoch 121, minibatch 2500/2500, validation error 7.250000 %
Optimization complete. (with seed: 1234) Best validation score of 7.060000 % obtained at iteration 197500, with test performance 7.230000 %
weight model is saved as mlp_mint_AD_VReLU.dat
