... loading data
... building the model
... training
Optimization complete. (with seed: 100) Best validation score of 2.173333 % obtained at iteration 68250, with test performance 2.106667 %
... loading data
... building the model
... training
epoch 1, minibatch 1750/1750, validation error 7.120000 %
     epoch 1, minibatch 1750/1750, test error of best model 6.533333 %
epoch 2, minibatch 1750/1750, validation error 5.053333 %
     epoch 2, minibatch 1750/1750, test error of best model 4.573333 %
epoch 3, minibatch 1750/1750, validation error 4.346667 %
     epoch 3, minibatch 1750/1750, test error of best model 3.986667 %
epoch 4, minibatch 1750/1750, validation error 3.946667 %
     epoch 4, minibatch 1750/1750, test error of best model 3.720000 %
epoch 5, minibatch 1750/1750, validation error 3.666667 %
     epoch 5, minibatch 1750/1750, test error of best model 3.426667 %
epoch 6, minibatch 1750/1750, validation error 3.520000 %
     epoch 6, minibatch 1750/1750, test error of best model 3.253333 %
epoch 7, minibatch 1750/1750, validation error 3.373333 %
     epoch 7, minibatch 1750/1750, test error of best model 3.066667 %
epoch 8, minibatch 1750/1750, validation error 3.293333 %
     epoch 8, minibatch 1750/1750, test error of best model 3.013333 %
epoch 9, minibatch 1750/1750, validation error 3.200000 %
     epoch 9, minibatch 1750/1750, test error of best model 2.906667 %
epoch 10, minibatch 1750/1750, validation error 3.026667 %
     epoch 10, minibatch 1750/1750, test error of best model 2.880000 %
epoch 11, minibatch 1750/1750, validation error 3.053333 %
epoch 12, minibatch 1750/1750, validation error 2.933333 %
     epoch 12, minibatch 1750/1750, test error of best model 2.773333 %
epoch 13, minibatch 1750/1750, validation error 2.880000 %
     epoch 13, minibatch 1750/1750, test error of best model 2.733333 %
epoch 14, minibatch 1750/1750, validation error 2.826667 %
     epoch 14, minibatch 1750/1750, test error of best model 2.666667 %
epoch 15, minibatch 1750/1750, validation error 2.786667 %
     epoch 15, minibatch 1750/1750, test error of best model 2.666667 %
epoch 16, minibatch 1750/1750, validation error 2.746667 %
     epoch 16, minibatch 1750/1750, test error of best model 2.626667 %
epoch 17, minibatch 1750/1750, validation error 2.666667 %
     epoch 17, minibatch 1750/1750, test error of best model 2.626667 %
epoch 18, minibatch 1750/1750, validation error 2.653333 %
     epoch 18, minibatch 1750/1750, test error of best model 2.613333 %
epoch 19, minibatch 1750/1750, validation error 2.640000 %
     epoch 19, minibatch 1750/1750, test error of best model 2.613333 %
epoch 20, minibatch 1750/1750, validation error 2.600000 %
     epoch 20, minibatch 1750/1750, test error of best model 2.600000 %
epoch 21, minibatch 1750/1750, validation error 2.546667 %
     epoch 21, minibatch 1750/1750, test error of best model 2.600000 %
epoch 22, minibatch 1750/1750, validation error 2.520000 %
     epoch 22, minibatch 1750/1750, test error of best model 2.586667 %
epoch 23, minibatch 1750/1750, validation error 2.493333 %
     epoch 23, minibatch 1750/1750, test error of best model 2.613333 %
epoch 24, minibatch 1750/1750, validation error 2.493333 %
epoch 25, minibatch 1750/1750, validation error 2.493333 %
epoch 26, minibatch 1750/1750, validation error 2.506667 %
epoch 27, minibatch 1750/1750, validation error 2.520000 %
epoch 28, minibatch 1750/1750, validation error 2.480000 %
     epoch 28, minibatch 1750/1750, test error of best model 2.546667 %
epoch 29, minibatch 1750/1750, validation error 2.480000 %
epoch 30, minibatch 1750/1750, validation error 2.493333 %
epoch 31, minibatch 1750/1750, validation error 2.480000 %
epoch 32, minibatch 1750/1750, validation error 2.480000 %
epoch 33, minibatch 1750/1750, validation error 2.440000 %
     epoch 33, minibatch 1750/1750, test error of best model 2.506667 %
epoch 34, minibatch 1750/1750, validation error 2.453333 %
epoch 35, minibatch 1750/1750, validation error 2.440000 %
epoch 36, minibatch 1750/1750, validation error 2.426667 %
     epoch 36, minibatch 1750/1750, test error of best model 2.493333 %
epoch 37, minibatch 1750/1750, validation error 2.413333 %
     epoch 37, minibatch 1750/1750, test error of best model 2.466667 %
epoch 38, minibatch 1750/1750, validation error 2.373333 %
     epoch 38, minibatch 1750/1750, test error of best model 2.466667 %
epoch 39, minibatch 1750/1750, validation error 2.360000 %
     epoch 39, minibatch 1750/1750, test error of best model 2.440000 %
epoch 40, minibatch 1750/1750, validation error 2.346667 %
     epoch 40, minibatch 1750/1750, test error of best model 2.426667 %
epoch 41, minibatch 1750/1750, validation error 2.320000 %
     epoch 41, minibatch 1750/1750, test error of best model 2.400000 %
epoch 42, minibatch 1750/1750, validation error 2.266667 %
     epoch 42, minibatch 1750/1750, test error of best model 2.426667 %
epoch 43, minibatch 1750/1750, validation error 2.280000 %
epoch 44, minibatch 1750/1750, validation error 2.266667 %
epoch 45, minibatch 1750/1750, validation error 2.253333 %
     epoch 45, minibatch 1750/1750, test error of best model 2.360000 %
epoch 46, minibatch 1750/1750, validation error 2.266667 %
epoch 47, minibatch 1750/1750, validation error 2.253333 %
epoch 48, minibatch 1750/1750, validation error 2.266667 %
epoch 49, minibatch 1750/1750, validation error 2.266667 %
epoch 50, minibatch 1750/1750, validation error 2.253333 %
epoch 51, minibatch 1750/1750, validation error 2.253333 %
epoch 52, minibatch 1750/1750, validation error 2.226667 %
     epoch 52, minibatch 1750/1750, test error of best model 2.293333 %
epoch 53, minibatch 1750/1750, validation error 2.226667 %
epoch 54, minibatch 1750/1750, validation error 2.253333 %
epoch 55, minibatch 1750/1750, validation error 2.240000 %
epoch 56, minibatch 1750/1750, validation error 2.253333 %
epoch 57, minibatch 1750/1750, validation error 2.266667 %
epoch 58, minibatch 1750/1750, validation error 2.253333 %
epoch 59, minibatch 1750/1750, validation error 2.226667 %
