Using gpu device 0: GeForce GTX 980
... loading data
<CudaNdarray object at 0x7f489292fbf0>
[0 0 0 ..., 3 3 2]
... building the model
... training
epoch 97, minibatch 1750/1750, validation error 1.546667 %
epoch 98, minibatch 1750/1750, validation error 1.933333 %
epoch 99, minibatch 1750/1750, validation error 1.666667 %
epoch 100, minibatch 1750/1750, validation error 1.333333 %
     epoch 100, minibatch 1750/1750, test error of best model 1.453333 %
epoch 101, minibatch 1750/1750, validation error 1.960000 %
epoch 102, minibatch 1750/1750, validation error 1.800000 %
epoch 103, minibatch 1750/1750, validation error 1.720000 %
epoch 104, minibatch 1750/1750, validation error 1.960000 %
epoch 105, minibatch 1750/1750, validation error 1.520000 %
epoch 106, minibatch 1750/1750, validation error 1.746667 %
epoch 107, minibatch 1750/1750, validation error 1.773333 %
epoch 108, minibatch 1750/1750, validation error 1.386667 %
epoch 109, minibatch 1750/1750, validation error 1.800000 %
epoch 110, minibatch 1750/1750, validation error 2.053333 %
epoch 111, minibatch 1750/1750, validation error 2.080000 %
epoch 112, minibatch 1750/1750, validation error 1.706667 %
epoch 113, minibatch 1750/1750, validation error 1.893333 %
epoch 114, minibatch 1750/1750, validation error 1.733333 %
epoch 115, minibatch 1750/1750, validation error 2.106667 %
epoch 116, minibatch 1750/1750, validation error 1.973333 %
epoch 117, minibatch 1750/1750, validation error 2.093333 %
epoch 118, minibatch 1750/1750, validation error 1.880000 %
epoch 119, minibatch 1750/1750, validation error 1.693333 %
epoch 120, minibatch 1750/1750, validation error 1.813333 %
epoch 121, minibatch 1750/1750, validation error 1.653333 %
epoch 122, minibatch 1750/1750, validation error 1.466667 %
epoch 123, minibatch 1750/1750, validation error 1.760000 %
epoch 124, minibatch 1750/1750, validation error 1.906667 %
epoch 125, minibatch 1750/1750, validation error 1.533333 %
epoch 126, minibatch 1750/1750, validation error 2.160000 %
epoch 127, minibatch 1750/1750, validation error 1.680000 %
epoch 128, minibatch 1750/1750, validation error 1.640000 %
epoch 129, minibatch 1750/1750, validation error 1.706667 %
epoch 130, minibatch 1750/1750, validation error 1.400000 %
epoch 131, minibatch 1750/1750, validation error 2.026667 %
epoch 132, minibatch 1750/1750, validation error 1.320000 %
