Using gpu device 0: GeForce GTX 980
... loading data
... building the model
... training
epoch 73, minibatch 5000/5000, validation error 16.990000 %
epoch 74, minibatch 5000/5000, validation error 16.730000 %
epoch 75, minibatch 5000/5000, validation error 16.490000 %
epoch 76, minibatch 5000/5000, validation error 16.570000 %
epoch 77, minibatch 5000/5000, validation error 16.630000 %
epoch 78, minibatch 5000/5000, validation error 16.330000 %
     epoch 78, minibatch 5000/5000, test error of best model 16.000000 %
epoch 79, minibatch 5000/5000, validation error 16.220000 %
     epoch 79, minibatch 5000/5000, test error of best model 15.880000 %
epoch 80, minibatch 5000/5000, validation error 16.160000 %
     epoch 80, minibatch 5000/5000, test error of best model 15.800000 %
epoch 81, minibatch 5000/5000, validation error 15.750000 %
     epoch 81, minibatch 5000/5000, test error of best model 15.480000 %
epoch 82, minibatch 5000/5000, validation error 15.620000 %
     epoch 82, minibatch 5000/5000, test error of best model 15.200000 %
epoch 83, minibatch 5000/5000, validation error 15.620000 %
epoch 84, minibatch 5000/5000, validation error 15.750000 %
epoch 85, minibatch 5000/5000, validation error 15.720000 %
epoch 86, minibatch 5000/5000, validation error 15.730000 %
epoch 87, minibatch 5000/5000, validation error 15.650000 %
epoch 88, minibatch 5000/5000, validation error 15.490000 %
     epoch 88, minibatch 5000/5000, test error of best model 15.010000 %
epoch 89, minibatch 5000/5000, validation error 15.340000 %
     epoch 89, minibatch 5000/5000, test error of best model 14.790000 %
epoch 90, minibatch 5000/5000, validation error 15.240000 %
     epoch 90, minibatch 5000/5000, test error of best model 14.730000 %
epoch 91, minibatch 5000/5000, validation error 15.370000 %
epoch 92, minibatch 5000/5000, validation error 15.310000 %
epoch 93, minibatch 5000/5000, validation error 15.310000 %
epoch 94, minibatch 5000/5000, validation error 15.400000 %
epoch 95, minibatch 5000/5000, validation error 15.400000 %
epoch 96, minibatch 5000/5000, validation error 15.400000 %
epoch 97, minibatch 5000/5000, validation error 15.060000 %
     epoch 97, minibatch 5000/5000, test error of best model 14.470000 %
epoch 98, minibatch 5000/5000, validation error 15.010000 %
     epoch 98, minibatch 5000/5000, test error of best model 14.350000 %
epoch 99, minibatch 5000/5000, validation error 15.010000 %
epoch 100, minibatch 5000/5000, validation error 14.930000 %
     epoch 100, minibatch 5000/5000, test error of best model 14.190000 %
epoch 101, minibatch 5000/5000, validation error 14.910000 %
     epoch 101, minibatch 5000/5000, test error of best model 14.180000 %
epoch 102, minibatch 5000/5000, validation error 14.800000 %
     epoch 102, minibatch 5000/5000, test error of best model 14.090000 %
epoch 103, minibatch 5000/5000, validation error 14.790000 %
     epoch 103, minibatch 5000/5000, test error of best model 14.110000 %
epoch 104, minibatch 5000/5000, validation error 14.550000 %
     epoch 104, minibatch 5000/5000, test error of best model 13.890000 %
epoch 105, minibatch 5000/5000, validation error 14.550000 %
epoch 106, minibatch 5000/5000, validation error 14.550000 %
epoch 107, minibatch 5000/5000, validation error 14.570000 %
epoch 108, minibatch 5000/5000, validation error 14.610000 %
epoch 109, minibatch 5000/5000, validation error 14.690000 %
epoch 110, minibatch 5000/5000, validation error 14.690000 %
epoch 111, minibatch 5000/5000, validation error 14.690000 %
epoch 112, minibatch 5000/5000, validation error 14.690000 %
epoch 113, minibatch 5000/5000, validation error 14.690000 %
epoch 114, minibatch 5000/5000, validation error 14.820000 %
epoch 115, minibatch 5000/5000, validation error 14.820000 %
epoch 116, minibatch 5000/5000, validation error 14.820000 %
epoch 117, minibatch 5000/5000, validation error 14.820000 %
epoch 118, minibatch 5000/5000, validation error 14.890000 %
epoch 119, minibatch 5000/5000, validation error 14.890000 %
epoch 120, minibatch 5000/5000, validation error 14.890000 %
epoch 121, minibatch 5000/5000, validation error 14.890000 %
epoch 122, minibatch 5000/5000, validation error 14.890000 %
epoch 123, minibatch 5000/5000, validation error 14.740000 %
epoch 124, minibatch 5000/5000, validation error 14.830000 %
epoch 125, minibatch 5000/5000, validation error 14.730000 %
epoch 126, minibatch 5000/5000, validation error 14.580000 %
epoch 127, minibatch 5000/5000, validation error 14.580000 %
epoch 128, minibatch 5000/5000, validation error 14.670000 %
epoch 129, minibatch 5000/5000, validation error 14.570000 %
epoch 130, minibatch 5000/5000, validation error 14.470000 %
     epoch 130, minibatch 5000/5000, test error of best model 13.760000 %
epoch 131, minibatch 5000/5000, validation error 14.550000 %
epoch 132, minibatch 5000/5000, validation error 14.550000 %
epoch 133, minibatch 5000/5000, validation error 14.430000 %
     epoch 133, minibatch 5000/5000, test error of best model 13.720000 %
epoch 134, minibatch 5000/5000, validation error 14.300000 %
     epoch 134, minibatch 5000/5000, test error of best model 13.580000 %
epoch 135, minibatch 5000/5000, validation error 14.300000 %
epoch 136, minibatch 5000/5000, validation error 14.300000 %
epoch 137, minibatch 5000/5000, validation error 14.250000 %
     epoch 137, minibatch 5000/5000, test error of best model 13.480000 %
epoch 138, minibatch 5000/5000, validation error 14.250000 %
epoch 139, minibatch 5000/5000, validation error 14.190000 %
     epoch 139, minibatch 5000/5000, test error of best model 13.440000 %
epoch 140, minibatch 5000/5000, validation error 14.210000 %
epoch 141, minibatch 5000/5000, validation error 14.210000 %
epoch 142, minibatch 5000/5000, validation error 13.910000 %
     epoch 142, minibatch 5000/5000, test error of best model 13.190000 %
epoch 143, minibatch 5000/5000, validation error 14.090000 %
epoch 144, minibatch 5000/5000, validation error 13.990000 %
epoch 145, minibatch 5000/5000, validation error 13.800000 %
     epoch 145, minibatch 5000/5000, test error of best model 13.160000 %
epoch 146, minibatch 5000/5000, validation error 13.800000 %
epoch 147, minibatch 5000/5000, validation error 13.530000 %
     epoch 147, minibatch 5000/5000, test error of best model 12.980000 %
epoch 148, minibatch 5000/5000, validation error 13.430000 %
     epoch 148, minibatch 5000/5000, test error of best model 12.920000 %
epoch 149, minibatch 5000/5000, validation error 13.610000 %
epoch 150, minibatch 5000/5000, validation error 13.610000 %
epoch 151, minibatch 5000/5000, validation error 13.470000 %
epoch 152, minibatch 5000/5000, validation error 13.380000 %
     epoch 152, minibatch 5000/5000, test error of best model 12.900000 %
epoch 153, minibatch 5000/5000, validation error 13.420000 %
epoch 154, minibatch 5000/5000, validation error 13.160000 %
     epoch 154, minibatch 5000/5000, test error of best model 12.590000 %
epoch 155, minibatch 5000/5000, validation error 13.220000 %
epoch 156, minibatch 5000/5000, validation error 13.010000 %
     epoch 156, minibatch 5000/5000, test error of best model 12.520000 %
epoch 157, minibatch 5000/5000, validation error 12.920000 %
     epoch 157, minibatch 5000/5000, test error of best model 12.450000 %
epoch 158, minibatch 5000/5000, validation error 13.040000 %
epoch 159, minibatch 5000/5000, validation error 12.850000 %
     epoch 159, minibatch 5000/5000, test error of best model 12.420000 %
epoch 160, minibatch 5000/5000, validation error 12.930000 %
epoch 161, minibatch 5000/5000, validation error 12.860000 %
epoch 162, minibatch 5000/5000, validation error 12.860000 %
epoch 163, minibatch 5000/5000, validation error 12.740000 %
     epoch 163, minibatch 5000/5000, test error of best model 12.290000 %
epoch 164, minibatch 5000/5000, validation error 12.830000 %
epoch 165, minibatch 5000/5000, validation error 12.830000 %
epoch 166, minibatch 5000/5000, validation error 12.770000 %
epoch 167, minibatch 5000/5000, validation error 12.680000 %
     epoch 167, minibatch 5000/5000, test error of best model 12.280000 %
epoch 168, minibatch 5000/5000, validation error 12.860000 %
epoch 169, minibatch 5000/5000, validation error 12.670000 %
     epoch 169, minibatch 5000/5000, test error of best model 12.360000 %
epoch 170, minibatch 5000/5000, validation error 12.640000 %
     epoch 170, minibatch 5000/5000, test error of best model 12.350000 %
epoch 171, minibatch 5000/5000, validation error 12.820000 %
epoch 172, minibatch 5000/5000, validation error 12.770000 %
epoch 173, minibatch 5000/5000, validation error 12.660000 %
epoch 174, minibatch 5000/5000, validation error 12.750000 %
epoch 175, minibatch 5000/5000, validation error 12.620000 %
     epoch 175, minibatch 5000/5000, test error of best model 12.380000 %
epoch 176, minibatch 5000/5000, validation error 12.400000 %
     epoch 176, minibatch 5000/5000, test error of best model 12.200000 %
epoch 177, minibatch 5000/5000, validation error 12.470000 %
epoch 178, minibatch 5000/5000, validation error 12.470000 %
epoch 179, minibatch 5000/5000, validation error 12.440000 %
epoch 180, minibatch 5000/5000, validation error 12.440000 %
epoch 181, minibatch 5000/5000, validation error 12.440000 %
epoch 182, minibatch 5000/5000, validation error 12.440000 %
epoch 183, minibatch 5000/5000, validation error 12.440000 %
epoch 184, minibatch 5000/5000, validation error 12.440000 %
epoch 185, minibatch 5000/5000, validation error 12.440000 %
epoch 186, minibatch 5000/5000, validation error 12.440000 %
epoch 187, minibatch 5000/5000, validation error 12.380000 %
     epoch 187, minibatch 5000/5000, test error of best model 12.310000 %
epoch 188, minibatch 5000/5000, validation error 12.380000 %
epoch 189, minibatch 5000/5000, validation error 12.380000 %
epoch 190, minibatch 5000/5000, validation error 12.330000 %
     epoch 190, minibatch 5000/5000, test error of best model 12.200000 %
epoch 191, minibatch 5000/5000, validation error 12.330000 %
epoch 192, minibatch 5000/5000, validation error 12.280000 %
     epoch 192, minibatch 5000/5000, test error of best model 12.260000 %
epoch 193, minibatch 5000/5000, validation error 12.190000 %
     epoch 193, minibatch 5000/5000, test error of best model 12.180000 %
epoch 194, minibatch 5000/5000, validation error 12.190000 %
epoch 195, minibatch 5000/5000, validation error 12.200000 %
epoch 196, minibatch 5000/5000, validation error 12.340000 %
epoch 197, minibatch 5000/5000, validation error 12.190000 %
epoch 198, minibatch 5000/5000, validation error 12.190000 %
epoch 199, minibatch 5000/5000, validation error 12.050000 %
     epoch 199, minibatch 5000/5000, test error of best model 12.070000 %
epoch 200, minibatch 5000/5000, validation error 11.870000 %
     epoch 200, minibatch 5000/5000, test error of best model 11.900000 %
epoch 201, minibatch 5000/5000, validation error 11.750000 %
     epoch 201, minibatch 5000/5000, test error of best model 11.860000 %
epoch 202, minibatch 5000/5000, validation error 11.750000 %
epoch 203, minibatch 5000/5000, validation error 11.750000 %
epoch 204, minibatch 5000/5000, validation error 11.830000 %
epoch 205, minibatch 5000/5000, validation error 11.830000 %
epoch 206, minibatch 5000/5000, validation error 11.830000 %
epoch 207, minibatch 5000/5000, validation error 11.920000 %
epoch 208, minibatch 5000/5000, validation error 11.920000 %
epoch 209, minibatch 5000/5000, validation error 12.090000 %
epoch 210, minibatch 5000/5000, validation error 12.090000 %
epoch 211, minibatch 5000/5000, validation error 12.090000 %
epoch 212, minibatch 5000/5000, validation error 11.990000 %
epoch 213, minibatch 5000/5000, validation error 11.990000 %
epoch 214, minibatch 5000/5000, validation error 12.040000 %
epoch 215, minibatch 5000/5000, validation error 11.980000 %
epoch 216, minibatch 5000/5000, validation error 12.080000 %
epoch 217, minibatch 5000/5000, validation error 12.150000 %
epoch 218, minibatch 5000/5000, validation error 12.150000 %
epoch 219, minibatch 5000/5000, validation error 12.240000 %
epoch 220, minibatch 5000/5000, validation error 12.240000 %
epoch 221, minibatch 5000/5000, validation error 12.240000 %
epoch 222, minibatch 5000/5000, validation error 12.220000 %
epoch 223, minibatch 5000/5000, validation error 12.220000 %
epoch 224, minibatch 5000/5000, validation error 12.270000 %
epoch 225, minibatch 5000/5000, validation error 12.270000 %
epoch 226, minibatch 5000/5000, validation error 12.350000 %
epoch 227, minibatch 5000/5000, validation error 12.410000 %
epoch 228, minibatch 5000/5000, validation error 12.500000 %
epoch 229, minibatch 5000/5000, validation error 12.420000 %
epoch 230, minibatch 5000/5000, validation error 12.340000 %
epoch 231, minibatch 5000/5000, validation error 12.340000 %
epoch 232, minibatch 5000/5000, validation error 12.260000 %
epoch 233, minibatch 5000/5000, validation error 12.260000 %
epoch 234, minibatch 5000/5000, validation error 12.190000 %
epoch 235, minibatch 5000/5000, validation error 11.980000 %
epoch 236, minibatch 5000/5000, validation error 12.060000 %
epoch 237, minibatch 5000/5000, validation error 12.020000 %
epoch 238, minibatch 5000/5000, validation error 12.160000 %
epoch 239, minibatch 5000/5000, validation error 12.160000 %
epoch 240, minibatch 5000/5000, validation error 12.070000 %
epoch 241, minibatch 5000/5000, validation error 11.990000 %
epoch 242, minibatch 5000/5000, validation error 12.070000 %
epoch 243, minibatch 5000/5000, validation error 12.050000 %
epoch 244, minibatch 5000/5000, validation error 11.990000 %
epoch 245, minibatch 5000/5000, validation error 11.840000 %
epoch 246, minibatch 5000/5000, validation error 11.850000 %
epoch 247, minibatch 5000/5000, validation error 12.060000 %
epoch 248, minibatch 5000/5000, validation error 12.040000 %
epoch 249, minibatch 5000/5000, validation error 11.940000 %
epoch 250, minibatch 5000/5000, validation error 12.030000 %
epoch 251, minibatch 5000/5000, validation error 12.040000 %
epoch 252, minibatch 5000/5000, validation error 12.250000 %
epoch 253, minibatch 5000/5000, validation error 12.690000 %
